cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
12324000,"Avenida Lucas Nogueira Garcez","- até 1659/1660","Jardim Esperança",4595,26,-23.2987827,-45.9662542
12324010,"Rua Humberto Peloggia","","Jardim São Luiz",4595,26,-23.3088473,-46.0006046
12324020,"Avenida Wilson Nogueira Soares","","Jardim São Luiz",4595,26,-23.2987827,-45.9662542
12324021,"Rua Rubens Bento de Moura","","Jardim São Luiz",4595,26,-23.2987827,-45.9662542
12324030,"Rua Edmundo Pereira","","Jardim São Luiz",4595,26,-23.3136722,-45.9972489
12324031,"Rua José Natalino Pelogia","","Jardim São Luiz",4595,26,-23.2987827,-45.9662542
12324040,"Rua Rolando Lippi","","Jardim São Luiz",4595,26,-23.314117,-45.9975792
12324050,"Rua Maria Luiza de Souza Pinto Vasques","","Jardim São Luiz",4595,26,-23.2987827,-45.9662542
12324070,"Rua Rogério Barcelos Galego","","Jardim São Luiz",4595,26,-23.3145362,-45.9987554
12324080,"Rua Fabiano Zangaro Serrano","","Jardim São Luiz",4595,26,-23.3134965,-45.9990895
12324090,"Rua Luciana da Costa Pimentel","","Jardim São Luiz",4595,26,-23.3185000047,-45.9806992927
12324100,"Rua João Odúlio Teixeira","","Jardim São Luiz",4595,26,-23.3138838,-46.0008748
12324101,"Rua João Justino Pereira","","Jardim São Luiz",4595,26,-23.3128811,-46.0015732
12324110,"Avenida Geraldo Vicente Rosa","","Jardim São Luiz",4595,26,-23.3124526,-45.9996534
12324120,"Rua Aloisio do Amaral Campos","","Jardim Esperança",4595,26,-23.3119935,-46.0007091
12324130,"Rua Expedicionário Roberto Bonocchi","","Jardim Esperança",4595,26,-23.2987827,-45.9662542
12324140,"Rua Professor Décio Moreira","","Jardim Esperança",4595,26,-23.2987827,-45.9662542
12324150,"Rua Orestes Jannuzzi","","Jardim Esperança",4595,26,-23.2987827,-45.9662542
12324160,"Rua José Abib","","Jardim Esperança",4595,26,-23.3114552,-46.0010058
12324170,"Rua Afonso Mariano dos Santos","","Jardim Esperança",4595,26,-23.3125741,-46.0011309
12324180,"Rua João Justino Pereira","","Jardim Esperança",4595,26,-23.3128811,-46.0015732
12324190,"Rua Marriete Cristina Morroni","","Jardim Esperança",4595,26,-23.312822,-46.002751
12324200,"Avenida Arary Siqueira Moscatello","","Jardim do Portal",4595,26,-23.3124967,-46.004729
12324210,"Rua Expedicionário Sebastião Alves Campos","","Jardim do Portal",4595,26,-23.2987827,-45.9662542
