cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
29166058,"Rua Maringá","","Barcelona",9267,8,-20.1703582,-40.25045
29166059,"Rua Umuarama","","Barcelona",9267,8,-20.1699917,-40.2502154
29166060,"Rua Muqui","","Barcelona",9267,8,-20.1733122,-40.2611026
29166061,"Rua Paranavaí","","Barcelona",9267,8,-20.1712695,-40.2496512
29166062,"Rua Guaíra","","Barcelona",9267,8,-20.1715523,-40.2489409
29166064,"Rua Novo Hamburgo","","Barcelona",9267,8,-20.1715863,-40.2479214
29166065,"Rua Santa Maria","","Barcelona",9267,8,-20.1712685,-40.24745
29166066,"Rua São Borja","","Barcelona",9267,8,-20.1714561,-40.2469489
29166067,"Rua Passo Fundo","","Barcelona",9267,8,-20.1712873,-40.2464943
29166068,"Rua Bajé","","Barcelona",9267,8,-20.1714294,-40.2460314
29166069,"Avenida Uruguaiana","","Barcelona",9267,8,-20.1706727,-40.2469714
29166070,"Rua Linhares","","Barcelona",9267,8,-20.1728469,-40.261102
29166071,"Avenida Blumenau","","Barcelona",9267,8,-20.1693728,-40.2470026
29166072,"Rua Joinville","","Barcelona",9267,8,-20.170286,-40.2501246
29166073,"Rua Brusque","","Barcelona",9267,8,-20.1686478,-40.2474775
29166074,"Rua Joaçaba","","Barcelona",9267,8,-20.1690101,-40.246536
29166075,"Rua Criciúma","","Barcelona",9267,8,-20.168686,-40.246054
29166077,"Rua Canela","","Barcelona",9267,8,-20.1698756,-40.2474713
29166078,"Rua Garibaldi","","Barcelona",9267,8,41.3798279,2.1752265
29166079,"Rua Monte Negro","","Barcelona",9267,8,-20.169888,-40.2465009
29166080,"Rua Aracruz","","Barcelona",9267,8,-20.1727456,-40.2598098
29166081,"Rua Santo Ângelo","","Barcelona",9267,8,-20.1701291,-40.2460507
29166082,"Rua Tubarão","","Barcelona",9267,8,-20.168944,-40.2449074
29166083,"Rua Laguna","","Barcelona",9267,8,-20.1693456,-40.2448986
29166085,"Rua Dourados","","Barcelona",9267,8,-20.1708661,-40.2416261
29166086,"Rua Três Lagoas","","Barcelona",9267,8,-20.1713248,-40.2414956
29166087,"Rua Itaporã","","Barcelona",9267,8,-20.1717757,-40.2417438
29166088,"Rua Aragarça","","Barcelona",9267,8,-20.1715496,-40.242414
29166089,"Rua Goiatuba","","Barcelona",9267,8,-20.1717768,-40.2429083
29166090,"Rua Vila Velha","","Barcelona",9267,8,-20.1727381,-40.2593325
29166091,"Rua Ceres","","Barcelona",9267,8,-20.1714822,-40.243392
29166092,"Rua Itumbiara","","Barcelona",9267,8,-20.1717757,-40.2438633
29166095,"Rodovia Governador Mário Covas","","Barcelona",9267,8,-20.1231046,-40.3055334
29166096,"Rua Rio Verde","","Barcelona",9267,8,-20.1717685,-40.2448622
29166097,"Rua Ponta Porã","","Barcelona",9267,8,-20.173272,-40.2441883
29166100,"Rua Alegre","","Barcelona",9267,8,-20.1726832,-40.2588565
29166101,"Rua Marabá","","Barcelona",9267,8,-20.1764324,-40.2445402
29166102,"Rua Feira de Santana","","Barcelona",9267,8,-20.1690588,-40.2543378
29166103,"Rua Chapecó","","Barcelona",9267,8,-20.1690276,-40.2444294
29166105,"Rua Trombetas","","Barcelona",9267,8,-20.1768604,-40.2443053
29166110,"Rua Guarapari","","Barcelona",9267,8,-20.1726732,-40.2583715
29166113,"Rua Bragança","","Barcelona",9267,8,-20.1757308,-40.2437414
29166115,"Rua Borba","","Barcelona",9267,8,-20.174192,-40.2427159
29166120,"Rua Jerônimo Monteiro","","Barcelona",9267,8,-20.1728741,-40.2579015
29166125,"Rua Tefé","","Barcelona",9267,8,-20.1740619,-40.242245
29166130,"Rua Santa Teresa","","Barcelona",9267,8,-20.1728735,-40.2574174
29166135,"Rua Maués","","Barcelona",9267,8,-20.1734806,-40.2416838
29166140,"Rua Cachoeiro de Itapemirim","","Barcelona",9267,8,-20.1729242,-40.2569431
29166150,"Rua Marataízes","","Barcelona",9267,8,-20.1729197,-40.2564702
29166155,"Avenida Anápolis","","Barcelona",9267,8,-20.1722151,-40.2438592
29166160,"Rua Pouso Alegre","","Barcelona",9267,8,-20.1727009,-40.2559803
29166165,"Avenida Teresópolis","","Barcelona",9267,8,-20.1730248,-40.2512653
29166170,"Rua Itajaí","","Barcelona",9267,8,-20.1687422,-40.2470178
29166175,"Rua Uberlândia","","Barcelona",9267,8,-20.1746362,-40.250292
29166180,"Rua Sabará","","Barcelona",9267,8,-20.1728184,-40.2550442
29166185,"Rua Nilópolis","","Barcelona",9267,8,-20.1728751,-40.2503086
29166190,"Rua Congonhas","","Barcelona",9267,8,-20.1730706,-40.2540821
29166195,"Rua Itaboraí","","Barcelona",9267,8,-20.173167,-40.2498192
29166200,"Avenida Região Sudeste","","Barcelona",9267,8,-20.1723533,-40.2555095
29166205,"Rua Jataí","","Barcelona",9267,8,-20.171503,-40.2443989
29166210,"Rua Ipatinga","","Barcelona",9267,8,-20.1745129,-40.2526671
29166215,"Rua Palmares","","Barcelona",9267,8,-20.1694815,-40.2560522
29166220,"Rua Ouro Preto","","Barcelona",9267,8,-20.1743187,-40.2521965
29166225,"Avenida Ribeirão Preto","","Barcelona",9267,8,-20.1750501,-40.2474387
29166230,"Rua Juiz de Fora","","Barcelona",9267,8,-20.1744968,-40.2517156
29166235,"Rua Foz do Iguaçú","","Barcelona",9267,8,-20.1699759,-40.2506999
29166240,"Rua Uberaba","","Barcelona",9267,8,-20.174548,-40.2512296
29166250,"Rua Araxá","","Barcelona",9267,8,-20.1742574,-40.2507713
29166260,"Rua Resende","","Barcelona",9267,8,-20.1731843,-40.250781
29166270,"Rua Governador Valadares","","Barcelona",9267,8,-20.1743455,-40.2498086
29166280,"Avenida Campinas","","Barcelona",9267,8,-20.1743148,-40.249362
29166290,"Rua Cabo Frio","","Barcelona",9267,8,-20.1727987,-40.2493734
29166300,"Rua Guaçuí","","Barcelona",9267,8,-20.1747218,-40.2618274
29166310,"Rua Guarujá","","Barcelona",9267,8,-20.1756478,-40.2488233
29166320,"Rua Araçatuba","","Barcelona",9267,8,-20.1744966,-40.2488696
29166330,"Rua Nova Friburgo","","Barcelona",9267,8,-20.1731598,-40.2489067
29166340,"Rua Lorena","","Barcelona",9267,8,-20.1757929,-40.2483147
29166350,"Rua Marília","","Barcelona",9267,8,-20.1742054,-40.248378
29166360,"Avenida Campos","","Barcelona",9267,8,-20.1729753,-40.2483952
29166370,"Rua Itu","","Barcelona",9267,8,-20.1756001,-40.2478777
29166380,"Rua São Carlos","","Barcelona",9267,8,-20.1745381,-40.2479067
29166390,"Rua Maricá","","Barcelona",9267,8,-20.1731332,-40.247903
29166400,"Avenida Santarém","","Barcelona",9267,8,-20.1748721,-40.2431488
29166420,"Rua Franca","","Barcelona",9267,8,-20.174207,-40.247433
29166430,"Rua Valença","","Barcelona",9267,8,-20.1727968,-40.2474427
29166440,"Rua Rio Claro","","Barcelona",9267,8,-20.1757242,-40.2469316
29166450,"Rua Taubaté","","Barcelona",9267,8,-20.1745167,-40.2469662
29166460,"Rua Búzios","","Barcelona",9267,8,-20.1731127,-40.2469403
29166470,"Rua Osasco","","Barcelona",9267,8,-20.1758867,-40.2464462
29166480,"Rua Sorocaba","","Barcelona",9267,8,-20.1741792,-40.2464783
29166490,"Rua Macaé","","Barcelona",9267,8,-20.1728196,-40.246472
29166500,"Avenida Região Sul","","Barcelona",9267,8,-20.1726154,-40.2454461
29166510,"Avenida Petrópolis","","Barcelona",9267,8,-20.1736719,-40.2493648
